"USER_ID";"anio";"mes";"AVG_CONNECTION_SPEED";"SUM_IS_MOBILE_DEVICE";"PCT_IS_MOBILE_DEVICE";"Conversion"
0;2018;1;1;49;1;0
0;2018;2;1;50;1;0
0;2018;3;0,989010989010989;91;1;0
0;2018;4;2;68;1;0
0;2018;5;1,68627450980392;51;1;0
0;2018;6;1,675;40;1;0
0;2018;7;2,21951219512195;41;1;0
0;2018;8;1,77272727272727;44;1;0
0;2018;9;2,05263157894737;57;1;0
0;2018;10;1,81081081081081;37;1;0
0;2018;11;1,94736842105263;38;1;0
1;2018;1;0;20;1;0
1;2018;2;0,105263157894737;17;0,894736842105263;0
1;2018;3;0;14;1;0
1;2018;4;0;17;1;0
1;2018;5;0;23;0,958333333333333;0
1;2018;6;0,291666666666667;22;0,916666666666667;0
1;2018;7;0,285714285714286;10;0,714285714285714;0
1;2018;8;0,375;14;0,875;0
1;2018;9;0,411764705882353;14;0,823529411764706;0
1;2018;10;0,230769230769231;13;1;0
1;2018;11;0,611111111111111;14;0,777777777777778;0
2;2018;1;1,23529411764706;7;0,411764705882353;0
2;2018;2;0,727272727272727;4;0,363636363636364;0
2;2018;3;1,10526315789474;15;0,789473684210526;0
2;2018;4;0,75;13;0,541666666666667;0
2;2018;5;1,34782608695652;11;0,478260869565217;0
2;2018;6;1,14285714285714;17;0,80952380952381;0
2;2018;7;1,55;24;0,6;0
2;2018;8;1,68;8;0,32;0
2;2018;9;1,18181818181818;14;0,636363636363636;0
2;2018;10;1,68965517241379;22;0,758620689655172;0
2;2018;11;1;16;1;0
3;2018;1;1;18;1;0
3;2018;2;1;35;1;0
3;2018;3;1;27;1;0
3;2018;4;1,02777777777778;36;1;0
3;2018;5;1;41;1;0
3;2018;6;1;21;1;0
3;2018;7;1;22;1;0
3;2018;8;1;26;1;0
3;2018;9;1;21;1;0
3;2018;10;1,16666666666667;10;0,833333333333333;0
3;2018;11;1;15;1;0
4;2018;1;1,33333333333333;0;0;0
4;2018;2;1,39024390243902;1;0,024390243902439;0
4;2018;3;1,43434343434343;2;0,0202020202020202;0
4;2018;4;1,16216216216216;2;0,0540540540540541;0
4;2018;5;1,42307692307692;0;0;0
4;2018;6;1,21428571428571;0;0;0
4;2018;7;1,57142857142857;0;0;0
4;2018;8;2;0;0;0
4;2018;9;1,55882352941176;1;0,0294117647058824;0
4;2018;10;1,11111111111111;2;0,0740740740740741;0
4;2018;11;1,38461538461538;0;0;0
5;2018;1;0;29;1;0
5;2018;2;0,0769230769230769;39;1;0
5;2018;3;0,0166666666666667;60;1;0
5;2018;4;0,0746268656716418;67;1;0
5;2018;5;0,0101010101010101;99;1;0
5;2018;6;0;59;1;0
5;2018;7;0;78;1;0
5;2018;8;0,0602409638554217;81;0,975903614457831;0
5;2018;9;0;44;1;0
5;2018;10;0;64;1;0
5;2018;11;0;61;1;0
6;2018;1;3;1;1;0
6;2018;2;1,85714285714286;21;1;0
6;2018;3;2;6;1;0
6;2018;4;2,33333333333333;3;1;0
6;2018;5;2,8;10;1;0
6;2018;6;2,14285714285714;12;0,857142857142857;0
6;2018;7;2,7;20;1;0
6;2018;8;2,2;19;0,95;0
6;2018;9;2,28571428571429;14;1;0
6;2018;10;1,71428571428571;14;1;0
6;2018;11;3;17;1;0
7;2018;1;3;18;1;0
7;2018;2;3;21;1;0
7;2018;3;2,625;24;1;0
7;2018;4;3;30;1;0
7;2018;5;2,97916666666667;48;1;0
7;2018;6;3;42;1;0
7;2018;7;2,70967741935484;23;0,741935483870968;0
7;2018;8;2,38461538461538;21;0,807692307692308;0
7;2018;9;3;21;1;0
7;2018;10;3;19;1;0
7;2018;11;2,96774193548387;30;0,967741935483871;0
8;2018;1;0;15;1;0
8;2018;2;1;12;1;0
8;2018;3;0;20;1;0
8;2018;4;0;24;1;0
8;2018;5;0,846153846153846;26;1;0
8;2018;6;0,974358974358974;39;1;0
8;2018;7;1;12;1;0
8;2018;8;1;32;1;0
8;2018;9;1;13;1;0
8;2018;10;1;19;1;0
8;2018;11;1;26;1;0
9;2018;1;1,71428571428571;1;0,0714285714285714;0
9;2018;2;1,42857142857143;1;0,0714285714285714;0
9;2018;3;1,34285714285714;14;0,4;0
9;2018;4;1,2;4;0,1;0
9;2018;5;1,35;8;0,2;0
9;2018;6;1,25806451612903;4;0,129032258064516;0
9;2018;7;1,25531914893617;5;0,106382978723404;0
9;2018;8;1,52173913043478;7;0,304347826086957;0
9;2018;9;1,97435897435897;4;0,102564102564103;0
9;2018;10;1,61971830985915;11;0,154929577464789;0
9;2018;11;1,92;4;0,08;0
10;2018;1;1;5;0,625;0
10;2018;2;0,947368421052632;15;0,789473684210526;0
10;2018;3;1;9;1;0
10;2018;4;1;8;1;0
10;2018;5;1;7;1;0
10;2018;6;1;4;1;0
10;2018;8;1;5;1;0
10;2018;9;1;4;0,8;0
10;2018;10;1;3;1;0
10;2018;11;1;1;1;0
11;2018;1;1,15384615384615;12;0,923076923076923;0
11;2018;2;1;11;1;0
11;2018;3;0,8;15;1;0
11;2018;4;1;12;1;0
11;2018;5;1;16;1;0
11;2018;6;1;9;1;0
11;2018;7;1;15;1;0
11;2018;8;1;31;1;0
11;2018;9;1;18;1;0
11;2018;10;1;14;1;0
11;2018;11;1;19;1;0
12;2018;1;1,16129032258065;31;1;0
12;2018;2;2,26315789473684;76;1;0
12;2018;3;1,21875;64;1;0
12;2018;4;1,475;40;1;0
12;2018;5;1,35087719298246;57;1;0
12;2018;6;1,74468085106383;46;0,978723404255319;0
12;2018;7;2,32857142857143;69;0,985714285714286;0
12;2018;8;1,48148148148148;48;0,888888888888889;0
12;2018;9;1,41509433962264;52;0,981132075471698;0
12;2018;10;1,14285714285714;64;0,914285714285714;0
12;2018;11;1;69;1;0
13;2018;1;1;8;1;0
13;2018;2;1;23;1;0
13;2018;3;1;17;1;0
13;2018;4;1;25;1;0
13;2018;5;1;25;1;0
13;2018;6;1;17;0,944444444444444;0
13;2018;7;1;30;1;1
13;2018;8;1;32;1;0
13;2018;9;1,07692307692308;22;0,846153846153846;0
13;2018;10;1;21;1;0
13;2018;11;1;20;1;0
14;2018;1;0;2;1;0
14;2018;2;0,571428571428571;7;1;0
14;2018;3;0,909090909090909;11;1;0
14;2018;4;1;19;1;0
14;2018;5;1;18;1;0
14;2018;6;1;23;1;0
14;2018;7;1;10;1;0
14;2018;8;1;18;1;0
14;2018;9;1;16;1;0
14;2018;10;1;13;1;0
14;2018;11;1;23;1;0
15;2018;1;1,3;0;0;0
15;2018;2;2,95652173913043;0;0;0
15;2018;3;3;0;0;0
15;2018;4;1,48;0;0;0
15;2018;5;1;0;0;0
15;2018;6;1;0;0;0
15;2018;7;1,4;0;0;0
15;2018;8;1,625;0;0;0
15;2018;9;1;0;0;0
15;2018;10;1;0;0;0
15;2018;11;1,4;0;0;0
16;2018;1;3;31;1;0
16;2018;2;2,83333333333333;43;0,895833333333333;0
16;2018;3;2,78571428571429;13;0,928571428571429;0
16;2018;4;3;37;1;0
16;2018;5;3;43;1;0
16;2018;6;2,93333333333333;29;0,966666666666667;0
16;2018;7;3;33;1;0
16;2018;8;2,5;30;0,833333333333333;0
16;2018;9;1,9;20;1;0
16;2018;10;2,91111111111111;43;0,955555555555556;0
16;2018;11;2,54285714285714;25;0,714285714285714;0
17;2018;1;1;18;1;0
17;2018;2;0,666666666666667;11;0,611111111111111;0
17;2018;3;1;22;0,956521739130435;0
17;2018;4;1;4;1;0
17;2018;5;1;12;1;0
17;2018;6;1;10;1;0
17;2018;7;1,05128205128205;32;0,82051282051282;0
17;2018;8;1;16;0,761904761904762;0
17;2018;9;1,11538461538462;20;0,769230769230769;0
17;2018;10;1;16;0,842105263157895;0
17;2018;11;1;15;0,789473684210526;0
18;2018;3;1;3;1;0
18;2018;4;1;7;1;0
18;2018;5;1;7;1;0
18;2018;6;1;8;1;0
18;2018;7;1;3;0,428571428571429;0
18;2018;8;1;2;1;0
18;2018;9;1;1;1;0
